,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3571,CHEMBL3805260,CCOC(C)Oc1cc2ncnc(Nc3ccc(C)c([N+](=O)[O-])c3)c2c2c1OCCO2,6.439734602137285,426.1539344239999,9,1,4.122520000000003,True
3574,CHEMBL188762,CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,10.0,370.0429232,4,2,4.484400000000003,True
3575,CHEMBL1762110,CC(=O)NC[C@H]1CC[C@H](c2nc(-c3cc4ccccc4[nH]3)c3c(N)nccn32)CC1,5.446116973356125,402.21680945200006,5,3,3.869700000000001,True
3576,CHEMBL166358,CN(C)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.920818753952375,400.1011067720001,6,2,3.8945000000000016,True
3577,CHEMBL4849337,O=C(CN1CCOCC1)Nc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)NO)n2)cc1,6.945004138470859,497.157829928,9,5,3.0069,True
3578,CHEMBL4871985,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(C(=O)NO)CC3)cc2)ncc1Cl,7.301551461984671,495.178565372,8,5,3.6986000000000017,True
3579,CHEMBL606027,CCCCN(Cc1cccc(Br)c1O)C(=S)Nc1ccccc1,4.656788409820253,392.05579639200005,2,2,5.153800000000005,True
3580,CHEMBL589560,Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,6.173925197299173,400.081240096,2,2,5.583900000000003,True
3581,CHEMBL589801,Cc1cccc(CN(Cc2ccc(F)cc2)C(=S)Nc2ccccc2)c1O,5.068542129310995,380.135862512,2,2,5.238920000000005,True
3582,CHEMBL592200,Oc1c(Cl)cc(Cl)cc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,5.872895201635192,434.04226774400007,2,2,6.237300000000004,True
3583,CHEMBL1828870,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccccc1,4.924088238517222,309.022641924,3,1,2.387600000000001,True
3584,CHEMBL1828884,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(Br)cc2)cc1,4.617082864912469,382.98269102800003,4,1,2.505300000000001,True
3585,CHEMBL1830261,NC(=S)N/N=C(/C=C/c1cccc(F)c1)c1ccccc1,5.681936665037238,299.089246668,2,2,3.0764000000000022,True
3587,CHEMBL4215164,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)CCO)c2)n1,5.928117992693874,512.1938810879999,9,3,3.747200000000001,True
3588,CHEMBL4204354,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(N=C=S)cc2)n1,4.816160962943579,482.12917265600004,9,1,5.160600000000004,True
